Stream,jun_05,jul_05,jun_06,jul_06,jun_07,jul_07,jun_08,jul_08,jun_09,jul_09,jun_10,jul_10,jun_11,jul_11
Site1,19,10,13,12,12,14,2,2,12,4,6,14,10,6
Site2,0,0,1,3,6,2,2,2,1,0,0,4,1,0
Site3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site5,0,1,0,3,1,2,1,0,0,0,0,0,0,0
Site6,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Site7,2,0,0,0,9,3,2,1,3,2,0,0,0,0
Site8,4,1,0,0,3,0,1,1,0,0,2,3,3,2
Site9,3,3,6,5,3,1,0,2,0,1,2,14,1,0
Site10,0,0,0,0,0,3,0,0,0,2,3,3,0,0
Site11,4,4,2,2,4,3,2,2,2,0,1,2,1,4
Site12,0,0,4,3,4,3,2,2,1,0,1,2,2,1
Site13,12,16,21,17,12,11,2,2,6,6,4,5,5,5
Site14,3,0,3,2,0,0,2,1,0,6,1,3,1,5
Site15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site19,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Site20,5,2,4,2,7,2,0,1,0,1,2,1,1,1
Site21,0,0,0,0,0,0,0,1,0,0,0,0,0,0
