"","ordinal","species","in6","in5","in4","in3","in2","in1","total","year","site","period","sjy","dd","dd_sum","cdd_sum","cdd_sumfall","DI","per","elev","siteyear","Tmean","cdd_seas","Cdd_siteave","Cdd_july_siteave","species.lab","spsiteyear","doy_adult","gdd_adult"
"40",210,"Aeropedellus clavatus",3,0,0,0,0,0,3,"1958","A1","initial","A1_210_1958",11.875,11.875,470.656265022126,470.656265022126,6,1,"2195","A11958",11.9136141304348,761.436503110418,327.278218732165,96.3026083672151,"Aeropedellus clavatus (SW)","A11958Aeropedellus clavatus",NA,NA
"52",143,"Aeropedellus clavatus",0,0,0,2,3,2,7,"2007","A1","resurvey","A1_143_2007",2.95844734621394,2.95844734621394,96.6657136808156,96.6657136808156,2,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,"Aeropedellus clavatus (SW)","A12007Aeropedellus clavatus",183,246.665713680816
"54",156,"Aeropedellus clavatus",1,0,1,0,1,0,3,"2007","A1","resurvey","A1_156_2007",0.27495036004336,0.27495036004336,127.543712450227,127.543712450227,4,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,"Aeropedellus clavatus (SW)","A12007Aeropedellus clavatus",183,246.665713680816
"55",161,"Aeropedellus clavatus",1,0,1,2,0,0,4,"2007","A1","resurvey","A1_161_2007",1.50827595605721,1.50827595605721,148.527073589344,148.527073589344,4,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,"Aeropedellus clavatus (SW)","A12007Aeropedellus clavatus",183,246.665713680816
"59",189,"Aeropedellus clavatus",7,0,0,0,0,0,7,"2007","A1","resurvey","A1_189_2007",6.85,6.85,381.089600352803,381.089600352803,6,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,"Aeropedellus clavatus (SW)","A12007Aeropedellus clavatus",183,246.665713680816
"61",204,"Aeropedellus clavatus",3,0,0,0,0,0,3,"2007","A1","resurvey","A1_204_2007",11.85,11.85,531.546526837761,531.546526837761,6,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,"Aeropedellus clavatus (SW)","A12007Aeropedellus clavatus",183,246.665713680816
"69",122,"Aeropedellus clavatus",0,0,0,0,0,4,4,"2008","A1","resurvey","A1_122_2008",0,0,30.4818151854257,30.4818151854257,1,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"70",129,"Aeropedellus clavatus",0,0,0,1,4,6,11,"2008","A1","resurvey","A1_129_2008",0.926608360350984,0.926608360350984,37.5178863328664,37.5178863328664,1.54545454545455,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"71",139,"Aeropedellus clavatus",0,0,0,2,3,0,5,"2008","A1","resurvey","A1_139_2008",3.63596945380167,3.63596945380167,52.3321631866221,52.3321631866221,2.4,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"72",149,"Aeropedellus clavatus",0,0,1,5,1,0,7,"2008","A1","resurvey","A1_149_2008",1.22753501329511,1.22753501329511,70.7252051528422,70.7252051528422,3,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"73",157,"Aeropedellus clavatus",0,0,5,4,2,0,11,"2008","A1","resurvey","A1_157_2008",0,0,89.1416195863978,89.1416195863978,3.27272727272727,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
